Opera,Genere,Data Asta,Estimate_min,Estimate_Max,Hammer_p
Le Pere Verdi o Quattro Pere sul Pan,0,2023-11-28,20000,30000,46800
Figura con Ma sul Viso,1,2021-11-18,2000,3000,2750
Nudo,1,2020-12-12,4500,6000,3800
Nudo,1,2020-12-12,4500,6000,3800
Nudi nello Studio**,1,2020-12-12,10000,15000,11000
La Madre (Maternità)**,0,2020-12-12,50000,70000,54000
Maternità,0,2020-12-12,70000,100000,70000
Ragazza Seduta,0,2020-11-24,55000,60000,69050
Nudo Sdraiato,1,2019-06-01,3500,5500,2800
Le Arance*,0,2019-06-01,70000,110000,8000
Ragazza Seduta (Con l'Abito Chiaro),0,2019-06-01,14000,20000,23000
Fenètre,0,2019-04-16,25000,35000,27500
Senza Titolo,1,2019-04-13,1000,1500,950
Nudo Sdraiato (Nello Studio) o Ragazza***,0,2018-09-06,80000,120000,90000
Figura  ,1,2018-08-06,200,300,190
Ragazza che Legge,0,2018-02-03,21000,24000,12000
La Madre (Maternità),0,2017-12-02,55000,75000,60000
Bambina Seduta,1,2017-11-21,3000,4000,3750
Nude Sitting (with Floral Carpet),0,2017-11-21,22000,32000,40000
Figura di Donna,1,2017-06-13,2500,3500,5000
Figure Sdraiate,1,2017-05-27,400,700,900
Due Nudi,0,2017-05-27,30000,50000,30000
Natura Morta a Pavarolo,0,2017-05-27,35000,50000,46000
Natura Morta (Pere),0,2017-05-27,14000,20000,16000
Paralleli I,0,2017-05-27,45000,70000,74000
Bambine,1,2017-05-27,200,300,180
Figura,1,2016-12-10,1500,2000,1300
Nudo Femminile,0,2016-12-05,9000,12000,6000
Ragazza col Vestito a Righe,0,2016-11-26,85000,140000,26000
Nudo Sdraiato (Nello Studio) o Ragazza**,0,2016-11-26,90000,150000,90000
La Draga del Fiume,0,2016-11-26,36000,40000,8000
Limoni sull'Alzata,0,2016-11-24,15000,18000,18600
Figura Femminile Seduta,1,2016-10-15,1800,2500,3200
Uova e Limoni,0,2016-05-31,15000,20000,20000
Nudo Sdraiato*,1,2016-05-28,7000,9000,7000
La Zingara*,0,2016-05-28,30000,45000,28000
Tre Dormienti,0,2016-05-28,10000,18000,10000
Tre Donne,0,2016-05-27,8000,12000,7000
Ragazza Nuda*,0,2016-04-05,50000,90000,139800
Le Piantine,0,2016-02-05,29500,42000,71500
Vocazione,0,2016-02-05,18000,24000,59500
Natura Morta con Testa di Gesso e Libri,0,2016-02-05,12000,18000,36000
Senza Titolo,1,2015-12-16,1800,2400,4500
Ragazza Seduta,0,2015-12-16,9000,12000,26250
Due Nudini di Bambina,1,2015-11-30,4500,6000,3000
La Giovinetta (con Libro e Anemoni),0,2015-11-28,110000,160000,100000
Il Riposo delle Mondine,0,2015-11-28,18000,20000,11000
Nudo di Schiena e Colonna,1,2015-10-10,500,700,250
Paesaggio**,0,2015-07-16,5500,8000,5200
Mele Cotogne,0,2015-06-09,20000,30000,25000
Mele o Natura Morta con Nudo,0,2015-05-30,30000,50000,31000
Rape (sul Pan),0,2015-05-30,40000,60000,38000
Due Nudi o Bozzetto per Fontana,1,2015-05-29,900,1400,850
,0,2015-05-20,30000,40000,27500
Natura Morta,0,2015-05-18,20000,30000,21000
Figure Femminili,0,2015-05-12,8000,12000,7440
Ragazza che Legge,0,2015-05-09,21000,24000,12000
Senza Titolo,1,2015-04-28,3000,5000,4000
L'Abbraccio,1,2015-03-29,1000,1200,300
Nudo Dormiente,0,2015-03-21,54000,60000,30000
Paesaggio*,0,2015-02-14,7000,10000,6800
Addormentata tra i Campi,0,2014-12-16,18000,20000,24800
Uova e Genziane**,0,2014-11-29,15000,25000,15000
Nudo di Ragazza nei Campi,0,2014-11-29,40000,60000,34000
Le Arance,0,2014-11-29,80000,140000,75000
Ragazza con Pere,1,2014-11-27,300,500,298
Due Bambine,1,2014-11-17,300,400,200
Nudo con la Maschera,0,2014-11-17,80000,120000,88000
Figura Seduta,1,2014-11-17,500,700,300
Inter,0,2014-11-17,15000,20000,14000
Idomeneo di Mozart,1,2014-11-11,300,400,525
Scoglio delle Sirene,1,2014-11-11,1000,1500,1375
Le Baccanti di Federico Ghedini,1,2014-11-11,300,400,425
Paesaggio,0,2014-10-11,10000,15000,9000
Donna con la Camicetta Rosa*,0,2014-10-11,15000,20000,14500
Donna Seduta,1,2014-10-11,3000,4000,2600
Fanciulla Seduta,0,2014-05-31,20000,30000,20000
Vecchia,1,2014-05-31,14000,20000,13000
L'Abbraccio,1,2014-05-30,250,350,240
Nudo DIsteso,0,2014-05-22,40000,60000,49100
Nuda con Chitarra,1,2014-05-19,300,400,200
Cucitrice nella Soffitta,0,2014-05-19,30000,40000,25000
Donna nella Stanza,1,2014-03-30,200,200,300
Cine Club Tori,1,2014-03-24,900,1200,400
Marina,0,2014-02-07,6000,11000,12000
Figura Sdraiata o La Dormiente,1,2013-12-14,22000,28000,20000
Uova e Genziane,0,2013-11-30,20000,30000,14000
Nudo Sdraiato,0,2013-11-30,8000,12000,7000
Piatto e Flauti,0,2013-11-28,20000,30000,24700
Sleeping Woman,1,2013-06-19,4000,6000,5000
Nudi di Schiena,1,2013-06-10,2200,3000,1700
Nudo o Nudo Disteso che Legge**,0,2013-06-01,60000,80000,75000
Studio per il Meriggio,0,2013-06-01,25000,35000,33000
,1,2013-05-22,60000,80000,51900
Uova e Limoni*,0,2013-01-16,45000,50000,20000
Sedia Azzurra e Rape (Rape e Brocca),0,2012-12-01,40000,60000,55000
Nudo (Modella Bionda o Nudo di Donna Seduta),0,2012-12-01,35000,50000,35000
I Pesci,0,2012-05-29,25000,35000,31040
Nudo con Pelliccia,0,2012-05-26,50000,70000,44000
Nudo in Gicchio,1,2012-05-25,3500,4500,3200
Veduta della Gallinara*,0,2012-05-24,25000,35000,24750
Nudo di Schiena  ,0,2012-05-24,25000,35000,29550
Donna che Legge*,1,2012-04-19,4000,6000,6250
Donna con la Camicetta Rosa,0,2012-03-30,20000,25000,17000
Italienische kunst der gegenwart 1,0,2011-12-10,3000,4000,2800
Italienische kunst 2,0,2011-12-10,3000,4000,2800
Italienische kunst 3,0,2011-12-10,3000,4000,2800
Figure,1,2011-12-02,4000,6000,3400
Concerto,0,2011-11-23,20000,30000,26000
"Still Life (Uva, Lemons and Eggs)",0,2011-11-23,70000,90000,84750
Dolce Riposo,0,2011-11-23,10000,15000,10400
Vendemmiatrici,0,2011-11-18,16000,20000,30000
Son,0,2011-09-10,18000,20000,10000
Dormiente,0,2011-06-13,22000,30000,12000
Nudo Sdraiato (Nello Studio) o Ragazza*,0,2011-05-28,150000,200000,140000
Veduta della Gallinara,0,2011-05-26,25000,35000,24750
