Opera;Anno;Genere/Materiale; Estimate p (min) ; Estimate p (Max) ; Hammer p (Hp) ;;;
Lo Studio;;0; 600.000 ; 800.000 ; 605.600 ;;;
Donna Vici al Tavolo;1936;0; 180.000 ; 250.000 ; 376.207 ;;;
Nudo Sdraiato (nello Studio);1934;0; 210.000 ; 250.000 ; 292.270 ;;;
Donna alla Finestra;1939;0; 60.000 ; 90.000 ; 186.000 ;;;
Donna Seduta (Con il Capo Recli);1943;0; 67.000 ; 86.000 ; 185.000 ;;;
Prigioniere;1952;0; 180.000 ; 250.000 ; 180.000 ;;;
Fanciulla Addormentata nello Studio;1959;0; 80.000 ; 120.000 ; 148.800 ;;;
Nudo di Schiena;;0; 70.000 ; 100.000 ; 145.100 ;;;
Nudo Sdraiato (Nello Studio) o Ragazza*;1934;0; 150.000 ; 200.000 ; 140.000 ;;;
Nudo in Blu;1934;0; 140.000 ; 180.000 ; 140.000 ;;;
Nude in Blue;1934;0; 140.000 ; 180.000 ; 140.000 ;;;
Angel of the Night;1952;0; 160.000 ; 200.000 ; 140.000 ;;;
Ragazza Nuda*;;0; 50.000 ; 90.000 ; 139.800 ;;;
Female Nude with Three Lemons;1936;0; 60.000 ; 80.000 ; 130.000 ;;;
Ritratto con Mazzetto di Fiori o Ritratto di Ada;1941;0; 100.000 ; 150.000 ; 120.250 ;;;
Nudo o Nudo Disteso che Legge*;1943;0; 120.000 ; 160.000 ; 120.000 ;;;
Natura Morta con Arance;1955;0; 110.000 ; 160.000 ; 115.000 ;;;
Nudo o Nudo Disteso che Legge;1943;0; 120.000 ; 160.000 ; 115.000 ;;;
Natura Morta con Brocca e Limoni;1947;0; 100.000 ; 150.000 ; 110.000 ;;;
Eggs on the Carpet;;0; 60.000 ; 80.000 ; 105.000 ;;;
La Giovinetta (con Libro e Anemoni);1933;0; 110.000 ; 160.000 ; 100.000 ;;;
Il Malati o Bambi Malato;1933;0; 80.000 ; 120.000 ; 100.000 ;;;
Le Tre Sorelle;1947;0; 100.000 ; 140.000 ; 100.000 ;;;
Pere e Flauti;1947;0; 90.000 ; 130.000 ; 100.000 ;;;
Nudo Sdraiato (Nello Studio) o Ragazza***;1934;0; 80.000 ; 120.000 ; 90.000 ;;;
Nudo Sdraiato (Nello Studio) o Ragazza**;1934;0; 90.000 ; 150.000 ; 90.000 ;;;
Seated Nude;1936;0; 85.000 ; 90.000 ; 90.000 ;;;
Nudo con la Maschera;1929;0; 80.000 ; 120.000 ; 88.000 ;;;
Still Life (Uva, Lemons and Eggs);1927;0; 70.000 ; 90.000 ; 84.750 ;;;
Lettrice Addormentata;1945;0; 80.000 ; 120.000 ; 84.250 ;;;
Le Arance;1956;0; 80.000 ; 140.000 ; 75.000 ;;;
Nudo o Nudo Disteso che Legge**;1943;0; 60.000 ; 80.000 ; 75.000 ;;;
Pere e Flauti*;1947;0; 75.000 ; 100.000 ; 75.000 ;;;
Paralleli I;1949;0; 45.000 ; 70.000 ; 74.000 ;;;
Le Piantine;;0; 29.500 ; 42.000 ; 71.500 ;;;
Frutta o Natura Morta;1930;0; 60.000 ; 80.000 ; 70.350 ;;;
Maternità;1953;0; 70.000 ; 100.000 ; 70.000 ;;;
Due Teste e Carte da Gioco*;1946;0; 75.000 ; 95.000 ; 70.000 ;;;
Ragazza Seduta;1938;0; 55.000 ; 60.000 ; 69.050 ;;;
Natura Morta (Limoni);;0; 50.000 ; 70.000 ; 66.000 ;;;
Bowl with Fruit;1941;0; 60.000 ; 60.000 ; 65.000 ;;;
Green Landscape;1947;0; 70.000 ; 90.000 ; 65.000 ;;;
Nudi o Nudo Disteso sul Pan;1937;0; 35.000 ; 50.000 ; 64.480 ;;;
Natura Morta con Fruttiera;;0; 60.000 ; 80.000 ; 63.200 ;;;
La Madre (Maternità);1952;0; 55.000 ; 75.000 ; 60.000 ;;;
La Zingara;1909;0; 70.000 ; 100.000 ; 60.000 ;;;
Vocazione;;0; 18.000 ; 24.000 ; 59.500 ;;;
Sedia Azzurra e Rape (Rape e Brocca);1927;0; 40.000 ; 60.000 ; 55.000 ;;;
Giannina;1932;0; 60.000 ; 80.000 ; 55.000 ;;;
Pink Figure on Blue Background;1961;0; 50.000 ; 50.000 ; 55.000 ;;;
La Madre (Maternità)**;1952;0; 50.000 ; 70.000 ; 54.000 ;;;
;;1; 60.000 ; 80.000 ; 51.900 ;;;
Scodella e Zucchini;;0; 41.800 ; 60.000 ; 51.500 ;;;
La Vestale. Atto I;;0; 35.000 ; 45.000 ; 49.600 ;;;
Nudo DIsteso;1953;0; 40.000 ; 60.000 ; 49.100 ;;;
Reading a Book;;0; 3.850 ; 5.700 ; 48.500 ;;;
Le Pere Verdi o Quattro Pere sul Pan;1938;0; 20.000 ; 30.000 ; 46.800 ;;;
Natura Morta a Pavarolo;1953;0; 35.000 ; 50.000 ; 46.000 ;;;
